Product_ID,Date,Offer_ID,Times_Occurred,Offer_Description,Est_Units_Sold
1068467,2022-02-16,110160,3,Buy 2 Get 10% Off on MRP,1.0
1068467,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,0.0
1068467,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,0.0
1068467,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),0.0
1068467,2022-02-21,110408,2,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,0.0
1130913,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,124.0
1130913,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,124.0
1130913,2021-12-17,106323,1,Additional 10% off on purchase worth Rs. 1000/-,0.0
1130913,2021-12-17,106324,1,Additional 15% off on purchase worth Rs. 1500/-,0.0
1130913,2021-12-19,106545,11,Additional 15% off on purchase worth Rs. 1500/-,306.0
1130913,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,24.0
1130913,2021-12-22,106643,8,Additional 5% Off on purchase of 2+ products,246.0
1130913,2021-12-23,106643,1,Additional 5% Off on purchase of 2+ products,28.0
1130913,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",165.0
1130913,2022-02-10,109802,3,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",189.0
1130913,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,283.0
1130913,2022-02-13,109974,3,Buy 2 Get 10% Off on MRP,245.0
1130913,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,265.0
1130913,2022-02-16,110160,3,Buy 2 Get 10% Off on MRP,225.0
1130913,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,274.0
1130913,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,269.0
1130913,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),404.0
1130913,2022-02-21,110408,2,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,404.0
1252974,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,71.0
1252974,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,71.0
1252974,2021-12-17,106323,2,Additional 10% off on purchase worth Rs. 1000/-,0.0
1252974,2021-12-17,106324,2,Additional 15% off on purchase worth Rs. 1500/-,0.0
1252974,2021-12-19,106545,8,Additional 15% off on purchase worth Rs. 1500/-,77.0
1252974,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,90.0
1252974,2021-12-22,106643,10,Additional 5% Off on purchase of 2+ products,89.0
1252974,2021-12-23,106643,2,Additional 5% Off on purchase of 2+ products,87.0
1252974,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",14.0
1252974,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",52.0
1252974,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,159.0
1252974,2022-02-13,109974,2,Buy 2 Get 10% Off on MRP,103.0
1252974,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,134.0
1252974,2022-02-16,110160,3,Buy 2 Get 10% Off on MRP,113.0
1252974,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,137.0
1252974,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,99.0
1252974,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),70.0
1252974,2022-02-21,110408,3,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,70.0
1252975,2021-12-16,106323,9,Additional 10% off on purchase worth Rs. 1000/-,44.0
1252975,2021-12-16,106324,9,Additional 15% off on purchase worth Rs. 1500/-,44.0
1252975,2021-12-17,106323,1,Additional 10% off on purchase worth Rs. 1000/-,34.0
1252975,2021-12-17,106324,1,Additional 15% off on purchase worth Rs. 1500/-,34.0
1252975,2021-12-19,106545,11,Additional 15% off on purchase worth Rs. 1500/-,17.0
1252975,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,76.0
1252975,2021-12-22,106643,9,Additional 5% Off on purchase of 2+ products,83.0
1252975,2021-12-23,106643,1,Additional 5% Off on purchase of 2+ products,4.0
1252975,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",37.0
